IDComentario,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,URL,critico,monitorado,opiniaoExtraida,proprioRestaurante,comentarioRespondido,IDDispositivoFK,IDFonteFK,IDHashtagFK,IDIdiomaFK,IDUsuarioFK,IDRestauranteFK,IDPostFK,IDComentarioFonte,IDConfiguracaoColetaFK,IDPostagemFonte,dataUpdateCriticidade,dataColeta
510468,0,5.0,"2025-01-01 12:08:03","2025-01-01 12:08:03",,NULL,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNmczZmVmlRRRAB!2m1!1s0x0:0xd12dc3c3931b311d!3m1!1s2@1:CIHM0ogKEICAgICfs6fViQE%7CCgwIo-DUuwYQoLP_hQI%7C?hl=pt-BR,3,0,1,0,1,NULL,6,NULL,1,274929,252,NULL,,NULL,NULL,"2025-01-01 16:30:09","2025-01-01 12:08:03"
510469,0,4.0,"2025-01-01 04:08:17","2025-01-01 04:08:17",,NULL,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRbnV5ekdBEAE!2m1!1s0x0:0xd12dc3c3931b311d!3m1!1s2@1:CIHM0ogKEICAgICQnuyzGA%7CCgwIsf_SuwYQkPOirQM%7C?hl=pt-BR,3,0,1,0,1,NULL,6,NULL,1,215387,252,NULL,,NULL,NULL,"2025-01-01 16:30:09","2025-01-01 04:08:17"
510470,0,5.0,"2025-01-01 00:13:23","2025-01-01 00:13:23",,NULL,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURHeWNhaHJnRRAB!2m1!1s0x0:0x13ad0b9d16d8e5a0!3m1!1s2@1:CIHM0ogKEICAgIDGycahrgE%7CCgsIo5HSuwYQyOLGZg%7C?hl=pt-BR,3,0,1,0,1,NULL,6,NULL,1,222442,254,NULL,,NULL,NULL,"2025-01-01 16:30:09","2025-01-01 00:13:23"
511005,0,NULL,"2025-01-03 12:00:03","2025-01-02 13:02:54","Orgulho da nossa equipe🙏",NULL,https://www.instagram.com/p/DEPuu6RumEb/,3,1,1,0,0,NULL,3,NULL,1,275219,253,33303,18053990579292435,NULL,NULL,"2025-05-04 23:57:34","2025-01-03 12:00:03"
511006,1,NULL,"2025-01-03 12:00:03","2025-01-03 10:10:47","Nossa o ano que nasci",NULL,https://www.instagram.com/p/DEU-8UgOoRY/,3,1,1,0,0,NULL,3,NULL,1,275220,253,33352,17954594606891190,NULL,NULL,"2025-05-04 23:57:35","2025-01-03 12:00:03"
511007,1,NULL,"2025-01-03 12:00:03","2025-01-03 09:57:40","Lembro bem dessa época",NULL,https://www.instagram.com/p/DEU-8UgOoRY/,3,1,1,0,0,NULL,3,NULL,1,275221,253,33352,18033270581392131,NULL,NULL,"2025-05-04 23:57:36","2025-01-03 12:00:03"
511009,1,NULL,"2025-01-03 12:00:03","2025-01-03 02:13:08","Minha mãe trabalhou ai nessa época 👏👏👏",NULL,https://www.instagram.com/p/DEU-8UgOoRY/,3,1,1,0,0,NULL,3,NULL,1,275222,253,33352,18050629769496797,NULL,NULL,"2025-05-04 23:57:38","2025-01-03 12:00:03"
511010,1,NULL,"2025-01-03 12:00:03","2025-01-03 00:02:17","Muitas lembranças e memórias afetivas.😍 @graca_cavalcanti_bezerra",NULL,https://www.instagram.com/p/DEU-8UgOoRY/,3,1,1,0,0,NULL,3,NULL,1,275223,253,33352,18024394379329463,NULL,NULL,"2025-05-04 23:57:39","2025-01-03 12:00:03"
511011,1,NULL,"2025-01-03 12:00:03","2025-01-02 23:38:29","Muitas lembranças mesmo. Sempre digo que fazemos parte daqueles tijolinhos de lá.....rs Quem entregava era um senhor em uma bicicleta, super gente boa ele....rs ❤️",NULL,https://www.instagram.com/p/DEU-8UgOoRY/,2,1,1,0,0,NULL,3,NULL,1,275224,253,33352,18051039161082655,NULL,NULL,"2025-01-03 16:30:09","2025-01-03 12:00:03"
511012,1,NULL,"2025-01-03 12:00:03","2025-01-02 22:06:06","Muitas memórias nesse lugar da minha infância, íamos com frequência ❤️",NULL,https://www.instagram.com/p/DEU-8UgOoRY/,2,1,1,0,0,NULL,3,NULL,1,275225,253,33352,18012797510660392,NULL,NULL,"2025-01-03 16:30:09","2025-01-03 12:00:03"
