IDOpiniao,aspecto,sentimento,polaridade,scorePolaridade,sentenca,trecho,supervisionado,IDCategoriaFK,IDComentarioFK
250837,memórias,afetivas,positivo,0.8235294117647058,"Muitas lembranças e memórias afetivas.😍 @graca_cavalcanti_bezerra",memórias,0,8,511010
250833,opções,melhores,positivo,0.9302396840528394,"Procurem outra pizzaria, tem outras opções muito melhores por perto.",opções,0,3,511044
250834,lugar,certo,positivo,0.8950131233595799,"Este é o lugar certo.",lugar,0,7,511044
250835,Ambiente,gostoso,positivo,0.9693135986606805,"Ambiente gostoso, serviço bom, porém o sabor poderia melhorar e o preço está elevado.",Ambiente,0,6,511046
250836,serviço,bom,positivo,0.963407814128473,"Ambiente gostoso, serviço bom, porém o sabor poderia melhorar e o preço está elevado.",serviço,0,2,511046
250838,Nível,europeu,positivo,0.9436008676789588,"Nível europeu.",Nível,0,2,511047
250839,preço,ótimo,positivo,0.9884785196216967,"Local limpo, agradável, bem localizado, a pizza é incrível com um preço ótimo.",preço,0,5,511047
250840,sabor,maravilhoso,positivo,0.9917564567653908,"Não tem o que falar, sempre aquele mesmo sabor maravilhoso e serviço impecável.",sabor,0,3,511049
250841,serviço,impecável,positivo,0.9919202716297788,"Não tem o que falar, sempre aquele mesmo sabor maravilhoso e serviço impecável.",serviço,0,2,511049
250842,sabor,mesmo,positivo,0.7844144882202527,"Não tem o que falar, sempre aquele mesmo sabor maravilhoso e serviço impecável.",sabor,0,3,511049
250920,carro,particular,positivo,0.9182217343578484,"Quando liguei e falei, demorou 15 minutos o gerente chegou no carro particular dele e trouxe minha pizza de frango com catupiry.",carro,0,3,511073
250921,tempos,bons,positivo,0.9566941794404544,"Bons tempos foram esses👏👏😍",tempos,0,7,511108
250922,atendimento,ótimo,positivo,0.9884785196216967,"Ótima pizzaria, pizza deliciosa, tempo de espera de 30 a 40 minutos, atendimento ótimo, ar-condicionado, possui fundo musical com piano, lugar para crianças, banheiro limpos, se for seu aniversário a partir de um certo valor você ganha um bolo e cantam parabéns pra você, recomendo",atendimento,0,2,511334
250923,fundo,musical,positivo,0.9580152671755724,"Ótima pizzaria, pizza deliciosa, tempo de espera de 30 a 40 minutos, atendimento ótimo, ar-condicionado, possui fundo musical com piano, lugar para crianças, banheiro limpos, se for seu aniversário a partir de um certo valor você ganha um bolo e cantam parabéns pra você, recomendo",fundo,0,1,511334
250924,pizza,deliciosa,positivo,0.9944337556418726,"Ótima pizzaria, pizza deliciosa, tempo de espera de 30 a 40 minutos, atendimento ótimo, ar-condicionado, possui fundo musical com piano, lugar para crianças, banheiro limpos, se for seu aniversário a partir de um certo valor você ganha um bolo e cantam parabéns pra você, recomendo",pizza,0,3,511334
250925,Local,agradável,positivo,0.9717875145405196,"Local agradável, muito bonito, pizzas gostosas.",Local,0,7,511335
250926,Local,bonito,positivo,0.9102855784576726,"Local agradável, muito bonito, pizzas gostosas.",Local,0,7,511335
250927,pizzas,gostosas,positivo,0.9740407930395092,"Local agradável, muito bonito, pizzas gostosas.",pizzas,0,3,511335
251188,batata,rústica,positivo,0.9422680412371134,"O ideal é fazer batata rústica no forno pra melhorar o prato por delivery.",batata,0,3,511697
251488,coisa,razoável,positivo,0.8648198391165691,"E o frango sem sabor é a batata e a banana  a única coisa que tava razoável",coisa,0,2,512230
251490,coisa,única,positivo,0.8191742592136584,"E o frango sem sabor é a batata e a banana  a única coisa que tava razoável",coisa,0,2,512230
251492,super,passada,positivo,0.6447227191413238,"Muito ruim parece que o arroz foi de minutos dias a cenoura, do arroz a lagrega  tb super cozida passada!!",super,0,2,512230
251497,Comida,servida,positivo,0.9281100169389336,"Comida muito bem servida.",Comida,0,3,512250
251499,massa,crua,negativo,-0.6808780075981427,"Pizza veio tá literalmente com a massa crua",massa,0,3,512271
251489,ambiente,ótimo,positivo,0.9884785196216967,"Fui pela primeira vez  neste local, e achei maravilhoso, atendimento de primeira, ambiente ótimo, e sem distinção de cliente pelas roupas simples que esvamos vestindo, pois estavamos em um tú pela praia!",ambiente,0,6,512551
251491,roupas,simples,positivo,0.9017521810928116,"Fui pela primeira vez  neste local, e achei maravilhoso, atendimento de primeira, ambiente ótimo, e sem distinção de cliente pelas roupas simples que esvamos vestindo, pois estavamos em um tú pela praia!",roupas,0,2,512551
251493,qualidade,ótima,positivo,0.9863168364740988,"Local exelente até o presente momento sup recomendo, opções de pizzas exelentes e qualidade ótima!",qualidade,0,5,512551
251494,Local,exelente,positivo,0.9928909952606636,"Local exelente até o presente momento sup recomendo, opções de pizzas exelentes e qualidade ótima!",Local,0,7,512551
251495,momento,presente,positivo,0.9160109789569992,"Local exelente até o presente momento sup recomendo, opções de pizzas exelentes e qualidade ótima!",momento,0,2,512551
251496,pizzas,exelentes,positivo,1,"Local exelente até o presente momento sup recomendo, opções de pizzas exelentes e qualidade ótima!",pizzas,0,3,512551
251498,atendimento,excelentes,positivo,0.9879496239920268,"Comida e atendimento excelentes!",atendimento,0,2,512553
251500,atendimento,formidável,positivo,0.9888551165146908,"Aconchegante, atendimento formidável",atendimento,0,2,512554
251835,filha,velha,positivo,0.5890625,"@natalia_valmeida Tem sim, de altura, só pode até 1.40 m. Minha filha mais velha não pode mais brincar :(",filha,0,3,512924
252538,serviço,bom,positivo,0.963407814128473,"Bom serviço.",serviço,0,2,514675
252539,queijo,estranho,positivo,0.5313214449016919,"A pizza veio com um queijo estranho como se estivesse acabado de ser descongelado.",queijo,0,3,514676
252668,comida,ótima,positivo,0.9863168364740988,"Ótima comida, bons profissionais !",comida,0,3,514981
252827,massa,fina,positivo,0.8677462887989204,"A Pizza é gostosa e tem a opção de massa mais grossa e massa fina.",massa,0,3,515319
252828,massa,grossa,positivo,0.6145958986731002,"A Pizza é gostosa e tem a opção de massa mais grossa e massa fina.",massa,0,3,515319
252829,espaço,kids,positivo,0.9295942720763724,"O espaço kids é bem equipado e ajuda muito para quem vai com crianças.",espaço,0,6,515319
254077,preço,justo,positivo,0.9878059534157188,"Comida excelente com preço justo!",preço,0,5,517649
254078,vezes,voltaria,positivo,0.8282651498577992,"Voltaria mil vezes!",vezes,0,3,517649
254079,Comida,excelente,positivo,0.9919043535940204,"Comida excelente com preço justo!",Comida,0,3,517649
254366,ambiente,bom,positivo,0.963407814128473,"Comida boa, ambiente bom, climatizado, com tv e área de lazer para crianças.",ambiente,0,6,518446
254367,Comida,boa,positivo,0.9500086894910632,"Comida boa, ambiente bom, climatizado, com tv e área de lazer para crianças.",Comida,0,3,518446
254368,custo,benefício,positivo,0.9564799560680944,"Ótimo custo benefício, refeição muito boa!",custo,0,5,518447
254369,refeição,boa,positivo,0.9500086894910632,"Ótimo custo benefício, refeição muito boa!",refeição,0,3,518447
254791,local,ótimo,positivo,0.9884785196216967,"Um ótimo local, indico para todos.",local,0,7,519194
254792,local,indico,positivo,0.9252396623265132,"Um ótimo local, indico para todos.",local,0,7,519194
254911,custo,benefício,positivo,0.9564799560680944,"Excelente custo benefício!!",custo,0,5,519646
254912,custo,excelente,positivo,0.9919043535940204,"Excelente custo benefício!!",custo,0,5,519646
255013,decoração,moderna,positivo,0.9798687089715536,"Já o ambiente é incrível de bonito e decorado, há salas e banheiros com uma estrutura e decoração bem moderna e até  relativamente luxuosa.",decoração,0,6,520203
255534,experiência,ruim,negativo,-0.6731793159462143,"Fui morrendo de fome pra um local que costumo gostar de pedir e tive uma experiência ruim :p",experiência,0,4,521546
256502,Lugar,super,positivo,0.9630962115017716,"Lugar super agradável, com ótimo cardápio e excelente atendimento.",Lugar,0,7,523981
256503,Lugar,agradável,positivo,0.9717875145405196,"Lugar super agradável, com ótimo cardápio e excelente atendimento.",Lugar,0,7,523981
256504,atendimento,excelente,positivo,0.9919043535940204,"Lugar super agradável, com ótimo cardápio e excelente atendimento.",atendimento,0,2,523981
257172,Comida,boa,positivo,0.9500086894910632,"Comida boa mas muito caro o self-service.",Comida,0,3,524444
257171,paz,emana,positivo,0.932533013205282,"Um lugar amplo, claro que formam um ambiente que emana paz!",paz,0,8,524445
257173,lugar,amplo,positivo,0.9838031370766084,"Um lugar amplo, claro que formam um ambiente que emana paz!",lugar,0,7,524445
257245,música,boa,positivo,0.9500086894910632,"Ambiente agradável, boa música do pianista.",música,0,6,524875
257246,Ambiente,agradável,positivo,0.9717875145405196,"Ambiente agradável, boa música do pianista.",Ambiente,0,6,524875
257269,atendimento,ótimo,positivo,0.9884785196216967,"Um ótimo atendimento com tudo os preços não são  atrativos",atendimento,0,2,525111
257270,pizzas,grandes,positivo,0.9327377824487652,"Infelizmente fomos hoje ,em família  pedimos 3 pizzas grandes.",pizzas,0,3,525113
257271,massa,horrível,negativo,-0.9259803921568628,"Tivemos que esperar 50 minutos e o pior as três vinheram frias, a massa horrível e o recheio de péssima qualidade.",massa,0,3,525113
257272,qualidade,péssima,negativo,-0.923064085447263,"Tivemos que esperar 50 minutos e o pior as três vinheram frias, a massa horrível e o recheio de péssima qualidade.",qualidade,0,5,525113
257273,experiência,péssima,negativo,-0.923064085447263,"Ressalto que o restaurante estava quase vazio o que não justifica de forma alguma nossa péssima experiência.",experiência,0,4,525113
257274,atendimento,local,positivo,0.934324880262928,"Excelente atendimento, local e comida diferenciado.",atendimento,0,2,525115
257275,atendimento,excelente,positivo,0.9919043535940204,"Excelente atendimento, local e comida diferenciado.",atendimento,0,2,525115
